,url,reviews,rating,price
0,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20,237 customer reviews,3.5 out of 5 stars,$9.99 
1,http://www.amazon.com/The-Whole-Truth-David-Baldacci/dp/0446539686?tag=NYTBS-20,"1,064 customer reviews",4.4 out of 5 stars,$9.99 
2,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20,"2,573 customer reviews",3.8 out of 5 stars,$8.99 
3,http://www.amazon.com/The-Quilters-Kitchen-Quilts-Recipes/dp/1416583297?tag=NYTBS-20,218 customer reviews,3.6 out of 5 stars,$10.99 
4,http://www.amazon.com/Testimony-A-Novel-Anita-Shreve/dp/0316067342?tag=NYTBS-20,408 customer reviews,3.9 out of 5 stars,$7.99 
5,http://www.amazon.com/Guernsey-Literary-Potato-Peel-Society/dp/0385340990?tag=NYTBS-20,"4,907 customer reviews",4.7 out of 5 stars,$12.99 
6,http://www.amazon.com/Girl-Dragon-Tattoo-Stieg-Larsson/dp/0307269752?tag=NYTBS-20,"6,070 customer reviews",4.3 out of 5 stars,$9.99 
7,http://www.amazon.com/The-Bodies-Left-Behind-Novel/dp/B002BWQ4MI?tag=NYTBS-20,188 customer reviews,3.9 out of 5 stars,$15.99 
8,http://www.amazon.com/A-Mercy-Toni-Morrison/dp/0307276767?tag=NYTBS-20,294 customer reviews,3.9 out of 5 stars,$9.99 
9,http://www.amazon.com/Knit-Friday-Night-Knitting-Club/dp/0425229920?tag=NYTBS-20,168 customer reviews,4.1 out of 5 stars,$7.99 
10,http://www.amazon.com/A-Mercy-Toni-Morrison/dp/0307276767?tag=NYTBS-20,294 customer reviews,3.9 out of 5 stars,$9.99 
11,http://www.amazon.com/Scarpetta-Kay-Patricia-Cornwell/dp/B0040RMEXA?tag=NYTBS-20,"1,216 customer reviews",3.8 out of 5 stars,$15.99 
12,http://www.amazon.com/Night-Day-Jesse-Stone-Novel/dp/0399155414?tag=NYTBS-20,339 customer reviews,4.2 out of 5 stars,$9.99 
13,http://www.amazon.com/Terminal-Freeze-Lincoln-Child/dp/1400095484?tag=NYTBS-20,345 customer reviews,4.0 out of 5 stars,$9.99 
14,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,"6,109 customer reviews",4.5 out of 5 stars,$7.99 
15,http://www.amazon.com/Promises-Death-J-D-Robb/dp/0399155481?tag=NYTBS-20,314 customer reviews,4.7 out of 5 stars,$7.99 
16,http://www.amazon.com/A-Reliable-Wife-Robert-Goolrick/dp/1565125967?tag=NYTBS-20,"1,399 customer reviews",3.3 out of 5 stars,$9.58 
17,http://www.amazon.com/Perfect-Poison-Arcane-Society-Book/dp/0399155805?tag=NYTBS-20,165 customer reviews,4.5 out of 5 stars,$8.99 
18,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,"6,109 customer reviews",4.5 out of 5 stars,$7.99 
19,http://www.amazon.com/The-Associate-John-Grisham/dp/0385517831?tag=NYTBS-20,"1,204 customer reviews",3.5 out of 5 stars,$9.99 
20,http://www.amazon.com/Cemetery-Dance-Douglas-Preston/dp/0446580295?tag=NYTBS-20,908 customer reviews,4.5 out of 5 stars,$8.99 
21,http://www.amazon.com/Smash-Cut-Novel-Sandra-Brown/dp/1416563083?tag=NYTBS-20,377 customer reviews,4.5 out of 5 stars,$8.99 
22,http://www.amazon.com/The-Eleventh-Victim-Nancy-Grace-ebook/dp/B002JB3ECE?tag=NYTBS-20,226 customer reviews,3.8 out of 5 stars,$7.99 
23,http://www.amazon.com/The-White-Queen-Cousins-War/dp/1476735484?tag=NYTBS-20,"1,494 customer reviews",4.3 out of 5 stars,$12.99 
24,http://www.amazon.com/Juliet-Naked-novel-Nick-Hornby/dp/1594488878?tag=NYTBS-20,257 customer reviews,3.9 out of 5 stars,$11.99 
25,http://www.amazon.com/The-Christmas-Sweater-Picture-Book/dp/1416995439?tag=NYTBS-20,116 customer reviews,4.6 out of 5 stars,$10.99 
26,http://www.amazon.com/Girl-Played-Fire-Millennium-Trilogy/dp/0307476154?tag=NYTBS-20,"14,698 customer reviews",4.6 out of 5 stars,$9.99 
27,http://www.amazon.com/Ford-County-Stories-Random-House/dp/0739377388?tag=NYTBS-20,"1,152 customer reviews",4.2 out of 5 stars,$7.99 
28,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,"10,093 customer reviews",4.7 out of 5 stars,$12.99 
